epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1412.78,1.39899,0.85352,0.91006,0.84912,0.90987,0.90364,0.48014,1.27523,0.79588,0.91033,0.0008186,0.0008186,0.0008186
181,1420.34,1.33403,0.84859,0.94295,0.84912,0.90987,0.90364,0.48014,1.27523,0.79588,0.91033,0.000812,0.000812,0.000812
182,1427.06,1.32932,0.84126,0.89477,0.86695,0.8927,0.91226,0.48382,1.28742,0.7796,0.91173,0.0008054,0.0008054,0.0008054
183,1434.54,1.35457,0.84266,0.91355,0.86695,0.8927,0.91226,0.48382,1.28742,0.7796,0.91173,0.0007988,0.0007988,0.0007988
184,1443.18,1.30729,0.8503,0.91166,0.88679,0.91416,0.91754,0.49367,1.28757,0.76379,0.91488,0.0007922,0.0007922,0.0007922
185,1451.81,1.4437,0.87174,0.93242,0.88679,0.91416,0.91754,0.49367,1.28757,0.76379,0.91488,0.0007856,0.0007856,0.0007856
186,1459.75,1.371,0.85289,0.92325,0.87748,0.91416,0.91617,0.51761,1.23073,0.76524,0.90567,0.000779,0.000779,0.000779
187,1468.4,1.31156,0.82409,0.89905,0.87748,0.91416,0.91617,0.51761,1.23073,0.76524,0.90567,0.0007724,0.0007724,0.0007724
188,1476.34,1.43974,0.85836,0.89046,0.87554,0.91416,0.91412,0.51661,1.21281,0.76011,0.90014,0.0007658,0.0007658,0.0007658
189,1484.56,1.28,0.80786,0.92101,0.87554,0.91416,0.91412,0.51661,1.21281,0.76011,0.90014,0.0007592,0.0007592,0.0007592
190,1492.21,1.39196,0.84457,0.90026,0.86255,0.9157,0.91229,0.50335,1.23561,0.76163,0.90175,0.0007526,0.0007526,0.0007526
191,1501.06,1.434,0.88314,0.91866,0.86255,0.9157,0.91229,0.50335,1.23561,0.76163,0.90175,0.000746,0.000746,0.000746
192,1508.47,1.42415,0.88866,0.91506,0.86736,0.92614,0.91367,0.49591,1.24834,0.76854,0.90195,0.0007394,0.0007394,0.0007394
193,1515.94,1.37841,0.85849,0.91228,0.86736,0.92614,0.91367,0.49591,1.24834,0.76854,0.90195,0.0007328,0.0007328,0.0007328
194,1524.13,1.34941,0.82578,0.92496,0.86298,0.91908,0.91557,0.49418,1.26599,0.76247,0.90457,0.0007262,0.0007262,0.0007262
195,1531.71,1.26873,0.80934,0.89561,0.86298,0.91908,0.91557,0.49418,1.26599,0.76247,0.90457,0.0007196,0.0007196,0.0007196
196,1539.65,1.29092,0.80742,0.90049,0.8607,0.91416,0.91331,0.49937,1.27124,0.7572,0.90591,0.000713,0.000713,0.000713
197,1548.34,1.26728,0.81304,0.88714,0.8607,0.91416,0.91331,0.49937,1.27124,0.7572,0.90591,0.0007064,0.0007064,0.0007064
198,1556.43,1.33102,0.86143,0.90827,0.86244,0.91845,0.9107,0.51409,1.23423,0.74406,0.90086,0.0006998,0.0006998,0.0006998
199,1565.35,1.33493,0.84435,0.90078,0.86244,0.91845,0.9107,0.51409,1.23423,0.74406,0.90086,0.0006932,0.0006932,0.0006932
200,1573.15,1.25598,0.82421,0.91922,0.86702,0.92345,0.91336,0.52422,1.21887,0.73809,0.89924,0.0006866,0.0006866,0.0006866
201,1580.21,1.19703,0.78052,0.91153,0.86702,0.92345,0.91336,0.52422,1.21887,0.73809,0.89924,0.00068,0.00068,0.00068
202,1587.79,1.47878,0.94645,0.93313,0.86952,0.92275,0.90828,0.52439,1.20284,0.74634,0.89767,0.0006734,0.0006734,0.0006734
203,1596.21,1.42151,0.84063,0.90516,0.86952,0.92275,0.90828,0.52439,1.20284,0.74634,0.89767,0.0006668,0.0006668,0.0006668
204,1605.22,1.16773,0.7872,0.9176,0.87732,0.93133,0.91234,0.51997,1.20872,0.74803,0.90027,0.0006602,0.0006602,0.0006602
205,1613.13,1.27956,0.80739,0.92753,0.87732,0.93133,0.91234,0.51997,1.20872,0.74803,0.90027,0.0006536,0.0006536,0.0006536
206,1620.87,1.21656,0.79207,0.91137,0.87404,0.92323,0.9101,0.52642,1.19453,0.73858,0.90004,0.000647,0.000647,0.000647
207,1628.52,1.37006,0.83794,0.88575,0.87404,0.92323,0.9101,0.52642,1.19453,0.73858,0.90004,0.0006404,0.0006404,0.0006404
208,1638.22,1.27895,0.80556,0.90778,0.87384,0.93133,0.91649,0.53115,1.1835,0.73469,0.89795,0.0006338,0.0006338,0.0006338
209,1648.17,1.25881,0.8025,0.90989,0.87384,0.93133,0.91649,0.53115,1.1835,0.73469,0.89795,0.0006272,0.0006272,0.0006272
210,1656.32,1.2871,0.81081,0.91645,0.88094,0.93562,0.92236,0.53484,1.19773,0.72532,0.89752,0.0006206,0.0006206,0.0006206
211,1664.63,1.28793,0.82715,0.92317,0.88094,0.93562,0.92236,0.53484,1.19773,0.72532,0.89752,0.000614,0.000614,0.000614
212,1674.1,1.34755,0.81772,0.90741,0.89203,0.92196,0.92396,0.54495,1.17455,0.72167,0.89172,0.0006074,0.0006074,0.0006074
213,1683.32,1.29324,0.80152,0.92834,0.89203,0.92196,0.92396,0.54495,1.17455,0.72167,0.89172,0.0006008,0.0006008,0.0006008
214,1690.59,1.24732,0.7884,0.92606,0.91073,0.92275,0.92918,0.54364,1.21708,0.72418,0.8954,0.0005942,0.0005942,0.0005942
215,1698.81,1.37498,0.83455,0.91502,0.91073,0.92275,0.92918,0.54364,1.21708,0.72418,0.8954,0.0005876,0.0005876,0.0005876
216,1707.56,1.23801,0.78676,0.8996,0.92296,0.92552,0.92734,0.53512,1.25472,0.72867,0.89887,0.000581,0.000581,0.000581
217,1715.48,1.46888,0.84666,0.90302,0.92296,0.92552,0.92734,0.53512,1.25472,0.72867,0.89887,0.0005744,0.0005744,0.0005744
218,1723.4,1.24509,0.77636,0.9017,0.91087,0.92103,0.9284,0.543,1.22627,0.73104,0.89607,0.0005678,0.0005678,0.0005678
219,1731.28,1.24538,0.7775,0.89309,0.91087,0.92103,0.9284,0.543,1.22627,0.73104,0.89607,0.0005612,0.0005612,0.0005612
220,1740.05,1.1837,0.7599,0.89754,0.90597,0.90972,0.92241,0.54894,1.21948,0.73506,0.89407,0.0005546,0.0005546,0.0005546
221,1747.36,1.3065,0.82774,0.88949,0.90597,0.90972,0.92241,0.54894,1.21948,0.73506,0.89407,0.000548,0.000548,0.000548
222,1755.33,1.23668,0.79593,0.8964,0.88491,0.93133,0.9261,0.54814,1.23152,0.73351,0.89681,0.0005414,0.0005414,0.0005414
223,1765.29,1.40315,0.83881,0.91046,0.88491,0.93133,0.9261,0.54814,1.23152,0.73351,0.89681,0.0005348,0.0005348,0.0005348
224,1774.88,1.32278,0.81074,0.90995,0.89764,0.93991,0.92723,0.54669,1.20372,0.72835,0.89378,0.0005282,0.0005282,0.0005282
225,1783.71,1.28964,0.81856,0.90607,0.89764,0.93991,0.92723,0.54669,1.20372,0.72835,0.89378,0.0005216,0.0005216,0.0005216
226,1792.16,1.2283,0.76205,0.88968,0.89451,0.94619,0.92514,0.5373,1.16481,0.72768,0.89218,0.000515,0.000515,0.000515
227,1800.78,1.26947,0.78409,0.91423,0.89451,0.94619,0.92514,0.5373,1.16481,0.72768,0.89218,0.0005084,0.0005084,0.0005084
228,1811.1,1.35334,0.82095,0.89281,0.8944,0.95279,0.92557,0.53688,1.15165,0.7223,0.89285,0.0005018,0.0005018,0.0005018
229,1819.07,1.32314,0.8234,0.90243,0.8944,0.95279,0.92557,0.53688,1.15165,0.7223,0.89285,0.0004952,0.0004952,0.0004952
230,1826.45,1.20311,0.77428,0.90171,0.89623,0.93991,0.92308,0.542,1.15263,0.7107,0.89236,0.0004886,0.0004886,0.0004886
231,1835.03,1.27222,0.77239,0.90086,0.89623,0.93991,0.92308,0.542,1.15263,0.7107,0.89236,0.000482,0.000482,0.000482
232,1843.53,1.29665,0.79879,0.88617,0.89582,0.92264,0.92012,0.55401,1.1586,0.7035,0.88976,0.0004754,0.0004754,0.0004754
233,1852.61,1.27265,0.80491,0.89865,0.89582,0.92264,0.92012,0.55401,1.1586,0.7035,0.88976,0.0004688,0.0004688,0.0004688
234,1859.92,1.28053,0.77739,0.91491,0.88743,0.93133,0.92287,0.56097,1.18397,0.70891,0.89012,0.0004622,0.0004622,0.0004622
235,1868.82,1.23275,0.7612,0.91101,0.88743,0.93133,0.92287,0.56097,1.18397,0.70891,0.89012,0.0004556,0.0004556,0.0004556
236,1876.99,1.24795,0.78192,0.89612,0.88639,0.93758,0.92358,0.56308,1.1811,0.712,0.88847,0.000449,0.000449,0.000449
237,1884.9,1.1838,0.74846,0.88913,0.88639,0.93758,0.92358,0.56308,1.1811,0.712,0.88847,0.0004424,0.0004424,0.0004424
238,1892.48,1.14251,0.7575,0.8948,0.90143,0.94193,0.92498,0.56368,1.16577,0.70503,0.88832,0.0004358,0.0004358,0.0004358
239,1900.32,1.40066,0.79426,0.87547,0.90143,0.94193,0.92498,0.56368,1.16577,0.70503,0.88832,0.0004292,0.0004292,0.0004292
240,1907.21,1.16801,0.75917,0.89453,0.91008,0.93991,0.92174,0.56034,1.16377,0.70887,0.88941,0.0004226,0.0004226,0.0004226
241,1916.06,1.31658,0.79603,0.89516,0.91008,0.93991,0.92174,0.56034,1.16377,0.70887,0.88941,0.000416,0.000416,0.000416
242,1923.68,1.20325,0.73548,0.89217,0.90617,0.93562,0.91926,0.55817,1.15576,0.70777,0.8896,0.0004094,0.0004094,0.0004094
243,1932.96,1.27885,0.7635,0.9039,0.90617,0.93562,0.91926,0.55817,1.15576,0.70777,0.8896,0.0004028,0.0004028,0.0004028
244,1940.92,1.2929,0.83872,0.9236,0.90486,0.93133,0.92387,0.55202,1.17043,0.71066,0.88902,0.0003962,0.0003962,0.0003962
245,1950.31,1.17182,0.7542,0.88117,0.90486,0.93133,0.92387,0.55202,1.17043,0.71066,0.88902,0.0003896,0.0003896,0.0003896
246,1959.28,1.26823,0.78638,0.87653,0.90071,0.93439,0.92181,0.54947,1.18936,0.717,0.88932,0.000383,0.000383,0.000383
247,1967.53,1.26961,0.78655,0.90383,0.90071,0.93439,0.92181,0.54947,1.18936,0.717,0.88932,0.0003764,0.0003764,0.0003764
248,1975.73,1.25984,0.79376,0.90964,0.90283,0.93562,0.92342,0.55058,1.19432,0.71617,0.88828,0.0003698,0.0003698,0.0003698
249,1983.8,1.13324,0.74235,0.8908,0.90283,0.93562,0.92342,0.55058,1.19432,0.71617,0.88828,0.0003632,0.0003632,0.0003632
250,1991.48,1.2613,0.75138,0.88714,0.91241,0.93886,0.92724,0.5605,1.18184,0.70218,0.88701,0.0003566,0.0003566,0.0003566
251,2000.03,1.18991,0.74271,0.88769,0.91241,0.93886,0.92724,0.5605,1.18184,0.70218,0.88701,0.00035,0.00035,0.00035
252,2009.62,1.29709,0.7975,0.8949,0.90643,0.93991,0.92899,0.56815,1.1757,0.69708,0.88611,0.0003434,0.0003434,0.0003434
253,2018.46,1.28395,0.78602,0.90487,0.90643,0.93991,0.92899,0.56815,1.1757,0.69708,0.88611,0.0003368,0.0003368,0.0003368
254,2026.23,1.22684,0.75662,0.89511,0.90394,0.93562,0.92904,0.56862,1.16377,0.69784,0.88462,0.0003302,0.0003302,0.0003302
255,2034.32,1.25265,0.778,0.90506,0.90394,0.93562,0.92904,0.56862,1.16377,0.69784,0.88462,0.0003236,0.0003236,0.0003236
256,2042.2,1.21581,0.75615,0.89018,0.9081,0.93304,0.92879,0.56441,1.14922,0.69925,0.88347,0.000317,0.000317,0.000317
257,2050.75,1.29444,0.7847,0.90487,0.9081,0.93304,0.92879,0.56441,1.14922,0.69925,0.88347,0.0003104,0.0003104,0.0003104
258,2059.29,1.18852,0.74782,0.89444,0.91649,0.92704,0.93157,0.5615,1.14944,0.70392,0.88477,0.0003038,0.0003038,0.0003038
259,2067.17,1.22977,0.74599,0.87319,0.91649,0.92704,0.93157,0.5615,1.14944,0.70392,0.88477,0.0002972,0.0002972,0.0002972
260,2074.82,1.29071,0.79432,0.87557,0.91585,0.93562,0.93359,0.55911,1.16686,0.70978,0.88716,0.0002906,0.0002906,0.0002906
261,2082.18,1.19379,0.7384,0.90036,0.91585,0.93562,0.93359,0.55911,1.16686,0.70978,0.88716,0.000284,0.000284,0.000284
262,2090.17,1.28523,0.78931,0.8826,0.91045,0.93133,0.93376,0.54604,1.18687,0.7174,0.88942,0.0002774,0.0002774,0.0002774
263,2098.34,1.18499,0.75089,0.89031,0.91045,0.93133,0.93376,0.54604,1.18687,0.7174,0.88942,0.0002708,0.0002708,0.0002708
264,2106.56,1.33368,0.76996,0.87452,0.90938,0.93133,0.93461,0.54733,1.19145,0.71161,0.89065,0.0002642,0.0002642,0.0002642
265,2114.13,1.23174,0.75145,0.92953,0.90938,0.93133,0.93461,0.54733,1.19145,0.71161,0.89065,0.0002576,0.0002576,0.0002576
266,2122.65,1.1927,0.75432,0.88828,0.91197,0.93377,0.9355,0.55493,1.19798,0.70706,0.89164,0.000251,0.000251,0.000251
267,2132.09,1.39291,0.83838,0.89396,0.91197,0.93377,0.9355,0.55493,1.19798,0.70706,0.89164,0.0002444,0.0002444,0.0002444
268,2140.52,1.17671,0.73242,0.89548,0.91293,0.94495,0.93755,0.5577,1.2032,0.70183,0.89198,0.0002378,0.0002378,0.0002378
269,2147.91,1.1608,0.73518,0.90824,0.91293,0.94495,0.93755,0.5577,1.2032,0.70183,0.89198,0.0002312,0.0002312,0.0002312
270,2157.28,1.19982,0.7364,0.8833,0.90458,0.94421,0.93624,0.56079,1.20183,0.70112,0.8907,0.0002246,0.0002246,0.0002246
271,2165.66,1.43786,0.79153,0.89945,0.90458,0.94421,0.93624,0.56079,1.20183,0.70112,0.8907,0.000218,0.000218,0.000218
272,2174.61,1.19439,0.75273,0.90084,0.90683,0.94421,0.93452,0.56252,1.18185,0.69746,0.88896,0.0002114,0.0002114,0.0002114
273,2183.31,1.25624,0.77669,0.91218,0.90683,0.94421,0.93452,0.56252,1.18185,0.69746,0.88896,0.0002048,0.0002048,0.0002048
274,2192.94,1.23028,0.73959,0.8708,0.90346,0.94421,0.93657,0.56652,1.15817,0.69554,0.88591,0.0001982,0.0001982,0.0001982
275,2201.51,1.17852,0.75461,0.89061,0.90346,0.94421,0.93657,0.56652,1.15817,0.69554,0.88591,0.0001916,0.0001916,0.0001916
276,2209.78,1.19497,0.72361,0.8933,0.90416,0.94421,0.93352,0.56668,1.14599,0.69561,0.88425,0.000185,0.000185,0.000185
277,2217.56,1.1723,0.73416,0.89789,0.90416,0.94421,0.93352,0.56668,1.14599,0.69561,0.88425,0.0001784,0.0001784,0.0001784
278,2225.1,1.11315,0.71092,0.90203,0.9036,0.94421,0.93197,0.57094,1.14606,0.69308,0.884,0.0001718,0.0001718,0.0001718
279,2232.62,1.20112,0.74498,0.88871,0.9036,0.94421,0.93197,0.57094,1.14606,0.69308,0.884,0.0001652,0.0001652,0.0001652
280,2240.84,1.14304,0.72363,0.88032,0.90002,0.94421,0.93203,0.56608,1.15759,0.69258,0.88407,0.0001586,0.0001586,0.0001586
281,2249.25,1.23069,0.75576,0.89995,0.90002,0.94421,0.93203,0.56608,1.15759,0.69258,0.88407,0.000152,0.000152,0.000152
282,2257.27,1.2545,0.75537,0.87967,0.89313,0.94421,0.93285,0.56245,1.16868,0.69248,0.88425,0.0001454,0.0001454,0.0001454
283,2264.84,1.41115,0.79971,0.88834,0.89313,0.94421,0.93285,0.56245,1.16868,0.69248,0.88425,0.0001388,0.0001388,0.0001388
284,2271.51,1.13694,0.72216,0.88585,0.89453,0.94645,0.93154,0.56295,1.173,0.69176,0.88418,0.0001322,0.0001322,0.0001322
285,2280.04,1.26038,0.78084,0.8965,0.89453,0.94645,0.93154,0.56295,1.173,0.69176,0.88418,0.0001256,0.0001256,0.0001256
286,2288.3,1.29554,0.75405,0.87455,0.89473,0.94839,0.9342,0.56487,1.1691,0.69148,0.88395,0.000119,0.000119,0.000119
287,2296.98,1.20625,0.75245,0.88887,0.89473,0.94839,0.9342,0.56487,1.1691,0.69148,0.88395,0.0001124,0.0001124,0.0001124
288,2305.75,1.19596,0.75414,0.89602,0.89833,0.94805,0.9349,0.56382,1.16293,0.69167,0.88422,0.0001058,0.0001058,0.0001058
289,2313.18,1.27415,0.78952,0.91987,0.89833,0.94805,0.9349,0.56382,1.16293,0.69167,0.88422,9.92e-05,9.92e-05,9.92e-05
290,2321.13,1.27881,0.78614,0.90596,0.89622,0.9485,0.93582,0.56265,1.15568,0.69102,0.88408,9.26e-05,9.26e-05,9.26e-05
291,2328.35,1.11444,0.7302,0.87761,0.89622,0.9485,0.93582,0.56265,1.15568,0.69102,0.88408,8.6e-05,8.6e-05,8.6e-05
292,2335.66,1.18769,0.79937,0.91727,0.89547,0.95589,0.93815,0.56266,1.15083,0.69476,0.88239,7.94e-05,7.94e-05,7.94e-05
293,2342.72,1.14005,0.7493,0.90755,0.89547,0.95589,0.93815,0.56266,1.15083,0.69476,0.88239,7.28e-05,7.28e-05,7.28e-05
294,2350.12,1.09737,0.68279,0.89235,0.89912,0.95627,0.93686,0.56074,1.14959,0.69803,0.88145,6.62e-05,6.62e-05,6.62e-05
295,2356.89,1.17368,0.7488,0.89052,0.89912,0.95627,0.93686,0.56074,1.14959,0.69803,0.88145,5.96e-05,5.96e-05,5.96e-05
296,2364.19,1.1674,0.70263,0.87819,0.89863,0.95708,0.93729,0.56006,1.15143,0.70134,0.88053,5.3e-05,5.3e-05,5.3e-05
297,2371.39,1.08936,0.67954,0.88729,0.89863,0.95708,0.93729,0.56006,1.15143,0.70134,0.88053,4.64e-05,4.64e-05,4.64e-05
298,2378.83,1.07217,0.69115,0.88779,0.89556,0.95689,0.93556,0.55817,1.15295,0.70433,0.87979,3.98e-05,3.98e-05,3.98e-05
299,2386.21,1.18502,0.77651,0.89838,0.89556,0.95689,0.93556,0.55817,1.15295,0.70433,0.87979,3.32e-05,3.32e-05,3.32e-05
300,2393.39,1.07046,0.652,0.87609,0.89187,0.95279,0.936,0.55869,1.15699,0.70878,0.87923,2.66e-05,2.66e-05,2.66e-05
