epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,331.883,2.04157,1.33031,1.03393,0.70897,0.63776,0.68599,0.24246,1.78379,1.20067,1.00567,0.0014354,0.0014354,0.0014354
43,339.618,2.00436,1.24332,1.04068,0.70897,0.63776,0.68599,0.24246,1.78379,1.20067,1.00567,0.00146438,0.00146438,0.00146438
44,346.305,1.98912,1.28168,1.0486,0.69765,0.66953,0.70726,0.26423,1.71098,1.15797,0.99994,0.00149309,0.00149309,0.00149309
45,352.965,1.94876,1.20402,1.02289,0.69765,0.66953,0.70726,0.26423,1.71098,1.15797,0.99994,0.00152154,0.00152154,0.00152154
46,360.31,1.97282,1.27089,0.98872,0.71618,0.67145,0.71537,0.26628,1.68472,1.10157,1.00436,0.00154973,0.00154973,0.00154973
47,368.05,2.1556,1.22626,1.03982,0.71618,0.67145,0.71537,0.26628,1.68472,1.10157,1.00436,0.00157765,0.00157765,0.00157765
48,375.239,2.18268,1.21037,1.05096,0.73355,0.6824,0.73136,0.25987,1.76827,1.09044,1.00381,0.00160531,0.00160531,0.00160531
49,382.231,2.02657,1.17942,1.01707,0.73355,0.6824,0.73136,0.25987,1.76827,1.09044,1.00381,0.0016327,0.0016327,0.0016327
50,389.723,2.03624,1.1958,1.01765,0.68686,0.69528,0.69227,0.22875,1.97669,1.10766,1.03569,0.00165983,0.00165983,0.00165983
51,397.693,2.16356,1.2889,0.99383,0.68686,0.69528,0.69227,0.22875,1.97669,1.10766,1.03569,0.00167,0.00167,0.00167
52,405.161,1.78784,1.1568,0.99784,0.69963,0.64378,0.67012,0.19778,1.88891,1.17426,1.0062,0.0016634,0.0016634,0.0016634
53,413.215,1.94157,1.20871,1.0362,0.69963,0.64378,0.67012,0.19778,1.88891,1.17426,1.0062,0.0016568,0.0016568,0.0016568
54,420.239,1.89245,1.17132,0.9678,0.68979,0.65849,0.6664,0.20969,1.93281,1.21756,1.01467,0.0016502,0.0016502,0.0016502
55,427.736,2.07615,1.33635,0.97868,0.68979,0.65849,0.6664,0.20969,1.93281,1.21756,1.01467,0.0016436,0.0016436,0.0016436
56,434.688,2.00137,1.23643,0.98348,0.68507,0.69528,0.69665,0.24549,1.80459,1.20952,0.98982,0.001637,0.001637,0.001637
57,442.075,1.88574,1.22138,0.98125,0.68507,0.69528,0.69665,0.24549,1.80459,1.20952,0.98982,0.0016304,0.0016304,0.0016304
58,451.162,1.98542,1.26462,1.02726,0.74267,0.72961,0.75079,0.27935,1.7313,1.15368,0.97067,0.0016238,0.0016238,0.0016238
59,458.709,1.74423,1.20749,0.98637,0.74267,0.72961,0.75079,0.27935,1.7313,1.15368,0.97067,0.0016172,0.0016172,0.0016172
60,466.946,1.77263,1.21566,0.98419,0.77931,0.73391,0.76546,0.27507,1.85276,1.11789,0.99615,0.0016106,0.0016106,0.0016106
61,475.914,1.72833,1.17046,1.01928,0.77931,0.73391,0.76546,0.27507,1.85276,1.11789,0.99615,0.001604,0.001604,0.001604
62,483.32,1.81122,1.17072,0.99904,0.77353,0.71831,0.7635,0.28672,1.82817,1.09624,0.98911,0.0015974,0.0015974,0.0015974
63,490.918,1.88465,1.15454,0.99158,0.77353,0.71831,0.7635,0.28672,1.82817,1.09624,0.98911,0.0015908,0.0015908,0.0015908
64,499.263,2.2121,1.19639,0.98531,0.75204,0.74195,0.7689,0.29974,1.72925,1.12403,0.96383,0.0015842,0.0015842,0.0015842
65,507.513,1.72116,1.09869,0.96933,0.75204,0.74195,0.7689,0.29974,1.72925,1.12403,0.96383,0.0015776,0.0015776,0.0015776
66,517.156,1.83849,1.17356,0.94048,0.7414,0.72599,0.76673,0.29891,1.82866,1.15642,0.98703,0.001571,0.001571,0.001571
67,524.672,1.89688,1.16528,1.04623,0.7414,0.72599,0.76673,0.29891,1.82866,1.15642,0.98703,0.0015644,0.0015644,0.0015644
68,532.541,1.81152,1.15148,0.99954,0.79584,0.71245,0.78687,0.32268,1.75024,1.07913,0.97787,0.0015578,0.0015578,0.0015578
69,540.341,1.80905,1.13894,0.95947,0.79584,0.71245,0.78687,0.32268,1.75024,1.07913,0.97787,0.0015512,0.0015512,0.0015512
70,548.234,1.7204,1.13765,0.9549,0.75949,0.73391,0.78049,0.33009,1.61269,1.01527,0.95943,0.0015446,0.0015446,0.0015446
71,555.79,1.74001,1.12134,0.94003,0.75949,0.73391,0.78049,0.33009,1.61269,1.01527,0.95943,0.001538,0.001538,0.001538
72,564.119,1.65835,1.09479,0.96909,0.79438,0.77253,0.82011,0.34722,1.59943,1.00632,0.95926,0.0015314,0.0015314,0.0015314
73,571.706,1.68295,1.11376,0.94545,0.79438,0.77253,0.82011,0.34722,1.59943,1.00632,0.95926,0.0015248,0.0015248,0.0015248
74,579.728,1.63411,1.08957,0.97494,0.79636,0.77253,0.82803,0.36669,1.56558,0.98544,0.95892,0.0015182,0.0015182,0.0015182
75,587.483,1.73841,1.13503,0.98218,0.79636,0.77253,0.82803,0.36669,1.56558,0.98544,0.95892,0.0015116,0.0015116,0.0015116
76,595.487,2.12538,1.2036,0.95453,0.75532,0.79828,0.82861,0.35992,1.57132,0.99398,0.96025,0.001505,0.001505,0.001505
